Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Functional Test - Code Objects,DBMIG-11,28701,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:17 PM,29/Sep/21 2:59 PM,29/Sep/21 2:58 PM,,,0,This EPIC comprises of stories/tasks related to functional test for the converted code objects.,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-9,,Functional Test - Code Objects,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qvb:,,,,,,,,,,,,,To Do
Application SQL Sanity Test,DBMIG-12,28702,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:17 PM,04/Oct/21 6:10 AM,04/Oct/21 9:29 AM,,,0,"As a migration team, I want to validate/test the converted Application SQL queries with mock/dummy data so that I can perform the sanity test for the converted queries.



Acceptance Criteria:

# Validate converted query compiles without error with sample data/mock data.
# Peer Review the converted query.",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-3,,Application SQL Sanity Test,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qvj:,,,,,,,,,,,,,To Do
Application SQL Integration,DBMIG-13,28703,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:17 PM,29/Sep/21 3:05 PM,04/Oct/21 9:29 AM,,,0,"As an application team which interacts with the DB in scope for the migration, I want to integrate the converted Application SQL Queries to the application DB Layer to ensure the application connect and performs the expected Db functionality.",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-8,,Application SQL Integration,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qvr:,,,,,,,,,,,,,To Do
Data Migration,DBMIG-14,28704,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:18 PM,29/Sep/21 3:09 PM,29/Sep/21 3:08 PM,,,0,This epic comprises of stories/tasks related to Database Migration for the in-scope database in migration,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-10,,Data Migration,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qvz:,,,,,,,,,,,,,To Do
Database Delivery Kit,DBMIG-15,28705,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:18 PM,30/Sep/21 6:28 AM,30/Sep/21 6:27 AM,,,0,This epic comprises of stories/tasks related to handover and delivery kits for in scope databases,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-6,,Database Delivery Kit,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qw7:,,,,,,,,,,,,,To Do
Application Testing,DBMIG-16,28706,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:19 PM,30/Sep/21 9:24 AM,04/Oct/21 9:30 AM,,,0,"As an Application Owner, I want to perform Application testing against the target(converted) database so that the Application functional validation can be performed.

Tip: Add any application testing story/task in this epic",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-13,,Application Testing,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qwf:,,,,,,,,,,,,,To Do
Performance Test,DBMIG-17,28707,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:19 PM,04/Oct/21 9:31 AM,05/Oct/21 4:39 AM,,,0,This epic comprises of Performance test related stories/tasks,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-2,,Performance Test,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qwn:,,,,,,,,,,,,,To Do
AWS Support,DBMIG-18,28708,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:20 PM,05/Oct/21 8:23 AM,05/Oct/21 8:09 AM,,,0,This epic comprises of stories/tasks related to testing support from AWS,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,DBMIG-22,,,{},ghx-label-6,,AWS Support,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qwv:,,,,,,,,,,,,,To Do
Demo,DBMIG-19,28709,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:20 PM,05/Oct/21 8:15 AM,05/Oct/21 8:13 AM,,,0,"As a project/migration team, I want to demonstrate sprint deliverables / features implemented during the course of the migration so that customer alignment, buy in and MVPs are discussed, agreed and planned accordingly in the backlog and milestones accordingly.



This EIPC comprises of stories/tasks for Demos performed throughout the project.



Acceptance Criteria:

# Demo feature/implementation/sprint outcome
# Buy-in decision from customer
# Plan next steps (revise backlog/plan or milestone delivery)",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-7,,Demo,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qx3:,,,,,,,,,,,,,To Do
Additional Features,DBMIG-20,28710,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:21 PM,05/Oct/21 8:17 AM,05/Oct/21 8:15 AM,,,0,"As a migration team, I want to identify and solution any key Additional features such as DB monitoring, security etc. so that the implementation for these features can be planned during the migration.",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-13,,Additional Features,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qxb:,,,,,,,,,,,,,To Do
Enablement and Training,DBMIG-21,28711,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:28 PM,05/Oct/21 8:22 AM,05/Oct/21 8:21 AM,,,0,"As a project team, I want to identify the training needs of the Customer so that necessary training plans can be planned.

Eg: 

* Aurora Immersion Days (can be conducted in collaboration with AWS DB SA Team)
* 2-3 days of topic trainings such as Postgres (How-to)

Acceptance Criteria:

# Identify Customer training needs.
# Plan trainers, training duration, dates and audience.
# Customer feedback post training to access if expected outcomes were met.





Tip: Add specific stories/tasks for training and enablement needs identified.",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-8,,Enablement and Training,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qxj:,,,,,,,,,,,,,To Do
Cut-Over Support,DBMIG-22,28712,,Epic,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:28 PM,05/Oct/21 8:23 AM,05/Oct/21 8:22 AM,,,0,This epic comprises of stories/tasks for Cut-over Support from AWS,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},ghx-label-11,,Cut-Over Support,To Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qxr:,,,,,,,,,,,,,To Do
Internal Kick off,DBMIG-23,28713,,Story,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:33 PM,24/Aug/21 5:20 PM,04/Oct/21 5:57 AM,,,0,As an Engagement Manager I want to perform a number of critical activities before we meet the customer so that the internal teams are aligned on the Engagement scope and prepared for the customer kickoff.,,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,DBMIG-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qxz:,,,,,,,,,,,,,To Do
Sales to Delivery Transition,DBMIG-27,28717,28713,Sub-task,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:34 PM,24/Aug/21 3:54 PM,04/Oct/21 5:57 AM,,,0,"As a Delivery team I want to meet the Sales team so that they have access and visibility to all customer related material and artefacts.



Acceptance Criteria:

# The Sales Team has provided all background material and artefacts (business cases, prototypes, outputs of the Cloud Adoption Framework (CAF), and Working Backwards documents) to the engagement delivery team.
# Delivery Team understands why the customer is making the investment with AWS and what outcomes they are driving towards.
# Delivery Team understands customer stakeholders and existing stakeholder management strategies.
# Review Deal Tracker Document and SoW
# Delivery Team is added to existing communication channels with the wider AWS sales team including Chime and/or email distribution lists.
# Set up time for Delivery Team’s introduced to the Customer by the Sales Team.",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qyv:,,,,,,,,,,,28713,Internal Kick off,To Do
Project Embark,DBMIG-28,28718,28713,Sub-task,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:35 PM,24/Aug/21 3:57 PM,06/Oct/21 5:14 AM,,,0,"As and Engagement Manager/Migration Lead I want to create an embark plan/document so that there is a consistent, repeatable on-boarding process for team members and to add relevant information(s) on documentation, training, and steps to on board for all new team members ",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qz3:,,,,,,,,,,,28713,Internal Kick off,To Do
Partner On-boarding,DBMIG-29,28719,28713,Sub-task,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:35 PM,24/Aug/21 4:05 PM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager I want to on-board the partner resources to the project so that capacity planning is met as required for the project execution

Acceptance Criteria:

* Complete [ProServe Subcontractor Security |https://w.amazon.com/bin/view/AWS/Teams/Proserve/SRC/EngagementSecurity/SubcontractorSecurityPackage/]assessment
* Partner Team is educated about the engagement governance structure (people, process, tools, communication, deliverable reviews, and security guidelines) 
* AWS team leads assess skill fit and capabilities of partner resources 
* Partner team has access to PSA portal for time card entry, expenses, and forecasting 
* Initial engagement forecast established (resource planner and financial reporting) 
* Escalation paths identified for the project and for internal partner team escalations
* Establish financial reviews for regular cadence of health checks 
* Expectations for timecard and expense management are defined",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qzb:,,,,,,,,,,,28713,Internal Kick off,To Do
Resource On-boarding and Management,DBMIG-30,28720,28713,Sub-task,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:36 PM,24/Aug/21 4:15 PM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager I want to create and map all Resource Request(s) to consultants so that the team is staffed to meet the engagement deliverables.

Acceptance Criteria:

* Right team assigned for the work to be done
** Confirm resource mix (skills, tenure at AWS, previous experience with similar work) 
** Reviewing open resource requests and working with resource management to identify the right people to fill open roles 
* AWS Consultants and Partner (if applicable) assignments are in SalesForce for the full duration required to support the project
* Identify team leads and 2 in the box alignment between AWS team and customer team
* Arrange people into teams / work streams
* Confirm assignments match the SOW (rates and discounts) 
* Confirm correct billing / invoicing information is in place so that the customer's first bill goes to the right person",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qzj:,,,,,,,,,,,28713,Internal Kick off,To Do
Pre-LRP,DBMIG-31,28721,28713,Sub-task,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:36 PM,24/Aug/21 4:18 PM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager I want to meet with Delivery Team to align on engagement goals and outcomes so that team is equipped and can work collectively to plan the implementation roadmap during LRP.

Acceptance Criteria:

* The team is internally aligned on expected outcomes and has an overall plan to support the customer facing LRP
** Roadmap drafted
** Working Backwards / Alignment Outcome Canvas drafted
** RAID log drafted 
** High level dependencies are identified 
** Decisions made or future decisions where customer input is required identified 
* Team Norms Established

 ",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qzr:,,,,,,,,,,,28713,Internal Kick off,To Do
Engagement Tooling,DBMIG-24,28714,,Story,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:33 PM,24/Aug/21 4:22 PM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager, I want to get an agreement on the tooling so that team can collaborate effectively throughout the engagement. 

Acceptance Criteria:

* Agreement on tools that the team will use during engagement including backlog management, documentation, communication (slack/chime/email/etc.), code repository, dev Ops tools, drawing / diagramming tools, etc.
* Tools to be established and available for team use in time for Launch Ready Planning
* Communication channels including Slack, Chime, Work Docs, Quip, and customer facing tools are established with agreed upon uses 

(P.S Customer Tooling can be confirmed during engagement/kickoff)

Ref: 

* [ProServe Engagement Tooling Wiki|https://w.amazon.com/bin/view/AWS/Teams/Proserve/Delivery/Tooling/]
* [Communication Channels (internal and customer facing) |https://w.amazon.com/bin/view/AWS/Teams/Proserve/Delivery/Communications/]",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,DBMIG-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qy7:,,,,,,,,,,,,,To Do
Team Governance,DBMIG-25,28715,,Story,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:33 PM,24/Aug/21 4:24 PM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager/Migration Lead, I want to establish team governance and  practices/documentations/cadences to be utilised during the course of the engagement so that there is transparency and awareness for the stakeholders and team on progress/risks made towards the business outcomes ",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,DBMIG-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qyf:,,,,,,,,,,,,,To Do
Methodology and EDF Walkthrough,DBMIG-32,28722,28715,Sub-task,To Do,DBMIG,DK-DBMigration,software,Ivan Biddles,5ced96abb457f80f23adac7d,,Medium,,,,Uma Agarwal,5f2959fdf78bea00168662d3,Uma Agarwal,5f2959fdf78bea00168662d3,23/Aug/21 3:36 PM,24/Aug/21 4:36 PM,06/Oct/21 5:14 AM,,,0,"As an Engagement Manager, I want to work with the customer Project Manager to understand the program execution methodology followed by the customer and present an overview of the Engagement Delivery Framework so that there is an alignment on the methodology which the engagement will follow.

Acceptance Criteria:

* EDF Overview presentation to Customer teams
* Align on Project management Tools/Agile Project management Tools to be utilised for Backlog and content",,Uma Agarwal,5f2959fdf78bea00168662d3,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1|i00qzz:,,,,,,,,,,,28715,Team Governance,To Do
